Type_ox,Temkin_adj_r2,Freundlich_adj_r2,Langmuir_adj_r2,DR_adj_r2,Elovich_adj_r2
AK_05,0.2888145369003736,0.6488424261127369,0.5556002604407972,0.6044244871577502,0.9999998752657298
AK_10,0.6267961095281078,0.8436816931666626,0.845709415501536,0.8187140426826741,0.999998167859887
AK_15,0.9230804654022055,0.9162773541549183,0.927941194213107,0.9331892747672793,0.9928737204717741
AK_20,0.5701513378919838,0.9904193083420042,0.9908572837900462,0.9392014186490564,0.9955504985050914
AK_25,0.5346201180750896,0.9872113603695692,0.9870525862174734,0.950302553117177,0.999691624802149
AK_30,0.6299185391089053,0.9729010843885652,0.9753967544270692,0.9362555049211198,0.9926774533364308
AL_00,0.3125634719981364,0.7907321448424645,0.5309456165954916,0.8237555099721258,0.9999995820768848
AL_05,0.4880500880913904,0.9227493128092235,0.7947782289205645,0.8838094780147592,0.9999990001909939
AL_10,0.5443146049898092,0.9864678239489076,0.9143442669642128,0.9511994281393101,0.9184640817807045
AM_05,0.8639679443803967,0.9978494846525208,0.9673767361949482,0.9999449403232564,0.9680000563540441
AM_10,0.8596526228343855,0.8564453055603092,0.8616441130484679,0.8638931336843367,0.9999981907541439
AM_15,0.8429406699023403,0.9049167666483878,0.9075090891778782,0.9163961634559834,0.9721472692904043
AM_20,0.33646960666932035,0.9246984027747065,0.7244527984895928,0.8880283455659266,0.9999993318883456
AM_30,0.5920661353050812,0.9763509300304245,0.9475645994577176,0.9379851521235811,0.9999955899501013
AN_30,0.6437403049747208,0.9249191081255825,0.7532757482201942,1,0.9999992978806651
AO_10,0.4040829646290175,0.9454604045843968,0.8095782091540205,0.8837911942494833,0.8396319701136681
AO_12,0.49335922326011505,0.8797039674754926,0.9050710129158676,0.7895995463031833,0.9106569512208553
AO_15,0.8074195174576826,0.8012792273243493,0.8068561824608473,0.8068481825321576,0.9999959455541306
AO_20,0.7341815189473055,0.8509621457490156,0.8328981741494513,0.7873513407249961,0.9993291874596253
